apg,college,draft_year,gp,mp,mpg,player,ppg,rank,rbg,team,ws,ws_48,yrs
1.8,University of Arizona,1988,910,16207,17.8,Steve Kerr,6.0,50,1.2,PHO,47.2,.140,15
0.2,University of Kentucky,1988,20,110,5.5,Rob Lock,1.5,51,1.6,LAC,-0.2,-0.083,1
,University of Southern Mississippi,1988,,,,Derrick Hamilton,,52,,NJN,,,
3.4,Tennessee State University,1988,882,30605,34.7,Anthony Mason,10.9,53,8.3,POR,88.3,.138,13
,,1988,,,,Jorge Gonzalez,,54,,ATL,,,
,Grand Canyon University,1988,,,,Rodney Johns,,55,,PHO,,,
0.0,Austin Peay State University,1988,1,1,1.0,Barry Sumpter,0.0,56,0.0,SAS,0.0,-0.894,1
,Louisiana State University,1988,,,,Herman Montenegro,,57,,PHI,,,
,Auburn University,1988,,,,Jeff Moore,,58,,CHH,,,
0.0,University of Tampa,1988,21,87,4.1,Nate Johnston,2.2,59,1.1,MIA,0.1,.050,1
,University of Kentucky,1988,,,,Ed Davender,,60,,WSB,,,
,University of Louisville,1988,,,,Herbert Crook,,61,,IND,,,
,University of Maryland,1988,,,,Derrick Lewis,,62,,CHI,,,
,Auburn University,1988,,,,Mike Jones,,63,,MIL,,,
0.9,University of Kentucky,1988,136,2157,15.9,Winston Bennett,4.8,64,3.0,CLE,1.7,.037,3
3.1,Loyola Marymount University,1988,80,1002,12.5,Corey Gaines,3.1,65,0.9,SEA,1.1,.052,5
,University of Memphis,1988,,,,Dwight Boyd,,66,,DEN,,,
0.3,University of Oklahoma,1988,3,8,2.7,Ricky Grace,1.3,67,0.3,UTA,0.0,.103,1
,Baylor University,1988,,,,Darryl Middleton,,68,,ATL,,,
,Virginia Commonwealth University,1988,,,,Phil Stinnie,,69,,NYK,,,
,Florida Southern College,1988,,,,Jerry Johnson,,70,,DAL,,,
2.5,Georgia Institute of Technology,1988,63,625,9.9,Craig Neal,2.5,71,0.7,POR,-0.4,-0.030,2
,Norfolk State University,1988,,,,Lee Johnson,,72,,DET,,,
4.3,Drexel University,1988,36,730,20.3,Michael Anderson,5.7,73,2.5,IND,0.2,.010,1
1.0,"University of Nevada, Las Vegas",1988,129,1625,12.6,Gerald Paddio,5.5,74,1.4,BOS,0.1,.002,3
,University of Kansas,1988,,,,Archie Marshall,,75,,SAS,,,
1.5,University of Louisville,1989,474,11593,24.5,Pervis Ellison,9.5,1,6.7,SAC,21.8,.090,11
1.3,Duke University,1989,917,18133,19.8,Danny Ferry,7.0,2,2.8,LAC,34.8,.092,13
2.6,University of Arizona,1989,742,24502,33.0,Sean Elliott,14.2,3,4.3,SAS,55.7,.109,12
2.1,University of Michigan,1989,1000,34985,35.0,Glen Rice,18.3,4,4.4,MIA,88.7,.122,15
1.0,University of North Carolina,1989,672,15370,22.9,J.R. Reid,8.5,5,5.0,CHH,22.5,.070,11
0.9,University of Oklahoma,1989,438,7406,16.9,Stacey King,6.4,6,3.3,CHI,10.9,.071,8
2.3,Florida State University,1989,766,17429,22.8,George McCloud,9.0,7,3.1,IND,24.6,.068,12
0.6,Louisiana Tech University,1989,281,5382,19.2,Randy White,7.4,8,4.9,DAL,1.9,.017,5
0.6,Georgia Institute of Technology,1989,687,10419,15.2,Tom Hammonds,5.3,9,3.3,WSB,14.7,.068,12
6.5,"University of California, Los Angeles",1989,639,19399,30.4,Pooh Richardson,11.1,10,2.8,MIN,26.7,.066,10
2.6,University of Illinois at Urbana-Champaign,1989,800,24922,31.2,Nick Anderson,14.4,11,5.1,ORL,55.3,.106,13
6.7,University of Oklahoma,1989,889,31026,34.9,Mookie Blaylock,13.5,12,4.1,NJN,71.8,.111,13
1.0,Brigham Young University,1989,141,1328,9.4,Michael Smith,5.0,13,1.5,BOS,1.4,.049,3
8.2,University of Texas at El Paso,1989,867,30626,35.3,Tim Hardaway,17.7,14,3.3,GSW,85.0,.133,13
1.4,Stanford University,1989,237,4240,17.9,Todd Lichti,7.9,15,2.1,DEN,5.6,.063,5
3.3,Boston College,1989,850,19480,22.9,Dana Barros,10.5,16,1.9,SEA,49.6,.122,14
1.6,Trinity Valley Community College,1989,1051,29293,27.9,Shawn Kemp,14.6,17,8.4,SEA,89.5,.147,14
3.3,University of Iowa,1989,747,17790,23.8,B.J. Armstrong,9.8,18,1.8,CHI,45.0,.121,11
0.4,University of Louisville,1989,144,1167,8.1,Kenny Payne,3.5,19,1.2,PHI,-0.1,-0.005,4
0.5,Georgia Southern University,1989,55,462,8.4,Jeff Sanders,2.0,20,1.9,CHI,-0.1,-0.008,4
2.0,East Carolina University,1989,704,18409,26.1,Blue Edwards,10.8,21,3.4,UTA,24.2,.063,10
0.8,University of Missouri,1989,87,849,9.8,Byron Irvin,5.2,22,1.4,POR,2.1,.121,3
0.4,University of Iowa,1989,29,194,6.7,Roy Marble,1.9,23,1.1,ATL,-0.5,-0.122,2
0.3,University of Arizona,1989,116,1499,12.9,Anthony Cook,3.6,24,3.7,PHO,1.0,.033,4
2.7,Seton Hall University,1989,128,1879,14.7,John Morton,4.8,25,1.3,CLE,0.5,.013,3
3.1,,1989,1134,33838,29.8,Vlade Divac,11.8,26,8.2,LAL,96.4,.137,16
0.8,University of Illinois at Urbana-Champaign,1989,134,1795,13.4,Kenny Battle,4.7,27,2.4,DET,3.7,.098,4
5.9,Syracuse University,1989,765,21148,27.6,Sherman Douglas,11.0,28,2.2,MIA,32.9,.075,12
0.3,University of Tennessee,1989,20,109,5.5,Dyron Nix,2.0,29,1.3,CHH,0.0,-0.015,1
0.3,Vanderbilt University,1989,89,595,6.7,Frank Kornet,1.9,30,1.1,MIL,0.0,-0.004,2
0.8,Murray State University,1989,143,2685,18.8,Jeff Martin,6.7,31,2.0,LAC,2.1,.038,2
0.2,DePaul University,1989,16,128,8.0,Stanley Brundy,2.3,32,1.6,NJN,0.2,.057,1
1.0,Indiana University,1989,4,26,6.5,Jay Edwards,1.8,33,0.5,LAC,0.0,.022,1
0.1,University of Missouri,1989,31,149,4.8,Gary Leonard,1.4,34,1.1,MIN,0.1,.029,3
0.9,Colorado State University,1989,64,930,14.5,Pat Durham,5.0,35,1.7,DAL,0.7,.037,2
2.2,University of Connecticut,1989,1380,42561,30.8,Clifford Robinson,14.2,36,4.6,POR,89.7,.101,18
0.4,University of Alabama,1989,149,2143,14.4,Michael Ansley,6.9,37,4.2,ORL,6.4,.142,3
1.9,Villanova University,1989,676,16649,24.6,Doug West,9.6,38,2.5,MIN,17.7,.051,12
0.4,University of Iowa,1989,45,374,8.3,Ed Horton,4.5,39,2.4,WSB,0.4,.050,1
1.6,,1989,224,7308,32.6,Dino Radja,16.7,40,8.4,BOS,14.3,.094,4
0.5,University of Tennessee,1989,42,412,9.8,Doug Roth,1.9,41,2.9,WSB,0.4,.052,1
,McNeese State University,1989,,,,Michael Cutright,,42,,DEN,,,
0.8,North Carolina State University,1989,694,11962,17.2,Chucky Brown,5.9,43,3.1,CLE,19.0,.076,13
,University of Hawaii,1989,,,,Reggie Cross,,44,,PHI,,,
1.8,University of Evansville,1989,50,609,12.2,Scott Haffner,4.3,45,1.1,MIA,-0.1,-0.012,2
0.5,Louisiana State University,1989,2,13,6.5,Ricky Blanton,3.0,46,1.5,PHO,0.0,.088,1
,University of Alabama at Birmingham,1989,,,,Reggie Turner,,47,,DEN,,,
,University of South Alabama,1989,,,,Junie Lewis,,48,,UTA,,,
3.9,Oral Roberts University,1989,359,7202,20.1,Haywoode Workman,5.5,49,2.3,ATL,10.7,.071,8
0.6,Washington State University,1989,138,1530,11.1,Brian Quinnett,3.4,50,1.6,NYK,0.9,.027,3
0.3,Loyola College in Maryland,1989,36,153,4.3,Mike Morrison,2.0,51,0.6,PHO,-0.3,-0.106,1
2.7,Trenton State University,1989,274,3350,12.2,Greg Grant,2.8,52,0.9,PHO,1.6,.023,6
,University of South Alabama,1989,,,,Jeff Hodge,,53,,DAL,,,
,University of Georgia,1989,,,,Toney Mack,,54,,PHI,,,
2.5,Syracuse University,1990,781,25903,33.2,Derrick Coleman,16.5,1,9.3,NJN,64.3,.119,15
6.7,Oregon State University,1990,1335,47117,35.3,Gary Payton,16.3,2,3.9,SEA,145.5,.148,17
3.5,Louisiana State University,1990,586,15628,26.7,Mahmoud Abdul-Rauf,14.6,3,1.9,DEN,25.2,.077,9
2.1,Georgia Institute of Technology,1990,629,17983,28.6,Dennis Scott,12.9,4,2.8,ORL,33.4,.089,10
3.0,University of Illinois at Urbana-Champaign,1990,966,29481,30.5,Kendall Gill,13.4,5,4.1,CHH,47.8,.078,15
0.3,University of Louisville,1990,640,12298,19.2,Felton Spencer,5.2,6,5.4,MIN,20.9,.081,12
3.3,La Salle University,1990,454,13472,29.7,Lionel Simmons,12.8,7,6.2,SAC,16.9,.060,7
0.9,Loyola Marymount University,1990,105,1336,12.7,Bo Kimble,5.5,8,1.5,LAC,0.1,.004,3
1.2,University of Minnesota,1990,316,6666,21.1,Willie Burton,10.3,9,2.9,MIA,9.1,.065,8
3.5,University of Michigan,1990,336,6098,18.1,Rumeal Robinson,7.6,10,1.8,ATL,5.2,.041,6
0.8,Xavier University,1990,801,22388,28.0,Tyrone Hill,9.4,11,8.6,GSW,56.2,.120,14
0.4,University of Georgia,1990,210,2937,14.0,Alec Kessler,5.2,12,3.6,HOU,2.0,.033,4
0.9,University of Michigan,1990,689,16993,24.7,Loy Vaught,10.1,13,7.1,LAC,35.8,.101,11
2.8,University of Texas at Austin,1990,115,2964,25.8,Travis Mays,11.1,14,2.0,SAC,2.4,.039,3
0.7,Ohio University,1990,90,594,6.6,Dave Jamerson,3.4,15,0.9,MIA,0.2,.018,3
1.3,University of Michigan,1990,678,16422,24.2,Terry Mills,10.6,16,5.4,MIL,33.3,.097,11
0.6,University of Maryland,1990,179,1902,10.6,Jerrod Mustaf,4.0,17,2.5,NYK,1.7,.043,4
0.4,Temple University,1990,541,9409,17.4,Duane Causwell,4.9,18,4.2,SAC,15.8,.081,11
3.7,Jacksonville University,1990,608,16843,27.7,Dee Brown,11.1,19,2.6,BOS,33.4,.095,12
1.5,University of Mississippi,1990,201,3347,16.7,Gerald Glass,7.7,20,2.5,MIN,1.8,.025,4
0.6,St. John's University,1990,475,9805,20.6,Jayson Williams,7.3,21,7.5,PHO,20.0,.098,9
1.8,University of Connecticut,1990,177,2019,11.4,Tate George,4.2,22,1.0,NJN,1.3,.032,4
1.4,Saint Louis University,1990,318,7372,23.2,Anthony Bonner,6.9,23,5.4,SAC,10.8,.070,6
0.4,University of Florida,1990,217,1950,9.0,Dwayne Schintzius,2.7,24,2.5,SAS,1.0,.024,8
0.3,Duke University,1990,256,3200,12.5,Alaa Abdelnaby,5.7,25,3.3,POR,4.8,.072,5
0.8,University of Texas at Austin,1990,142,1045,7.4,Lance Blanks,2.0,26,0.8,DET,0.7,.031,3
1.1,Clemson University,1990,1044,25776,24.7,Elden Campbell,10.3,27,5.9,LAL,62.8,.117,15
0.0,University of Iowa,1990,52,192,3.7,Les Jepsen,1.0,28,1.3,GSW,0.1,.031,2
3.7,,1990,846,22212,26.3,Toni Kukoc,11.6,29,4.2,CHI,59.6,.129,13
0.6,University of Houston,1990,465,8042,17.3,Carl Herrera,5.3,30,3.6,MIA,9.0,.054,8
2.8,University of Dayton,1990,276,4513,16.4,Negele Knight,6.2,31,1.3,PHO,4.2,.044,6
1.0,Georgia Institute of Technology,1990,118,1182,10.0,Brian Oliver,3.3,32,1.0,PHI,-0.5,-0.020,4
0.2,Dartmouth College,1990,48,209,4.4,Walter Palmer,2.1,33,1.4,UTA,-0.1,-0.013,2
1.6,University of Kansas,1990,94,1125,12.0,Kevin Pritchard,3.6,34,1.0,GSW,0.4,.017,4
0.5,University of Texas at El Paso,1990,656,7974,12.2,Greg Foster,3.9,35,2.6,WSB,5.6,.033,13
1.0,"University of California, Los Angeles",1990,103,1609,15.6,Trevor Wilson,5.7,36,3.4,ATL,0.8,.023,4
2.1,Virginia Union University,1990,151,3108,20.6,A.J. English,9.9,37,2.1,WSB,1.1,.017,2
0.8,University of Arizona,1990,720,8444,11.7,Jud Buechler,3.3,38,1.8,SEA,16.5,.094,12
0.1,Purdue University,1990,174,918,5.3,Steve Scheffler,1.9,39,1.0,CHH,2.9,.153,7
3.9,Virginia Polytechnic Institute and State University,1990,852,20319,23.8,Bimbo Coles,7.8,40,2.1,SAC,27.4,.065,14
1.3,University of Illinois at Urbana-Champaign,1990,33,299,9.1,Steve Bardo,2.2,41,1.8,ATL,-0.1,-0.020,3
0.9,University of Illinois at Urbana-Champaign,1990,267,4568,17.1,Marcus Liberty,7.3,42,3.5,DEN,4.0,.042,4
0.4,University of Maryland,1990,683,12291,18.0,Tony Massenburg,6.2,43,4.3,SAS,15.6,.061,13
2.0,Kansas State University,1990,238,2282,9.6,Steve Henson,3.1,44,0.7,MIL,3.8,.079,7
1.1,University of Texas at El Paso,1990,903,26084,28.9,Antonio Davis,10.0,45,7.5,IND,59.6,.110,13
0.6,Elizabeth City State University,1990,260,2918,11.2,Kenny Williams,4.8,46,2.7,IND,7.4,.122,4
0.6,Xavier University,1990,456,8548,18.7,Derek Strong,6.8,47,4.9,PHI,18.5,.104,10
1.2,"California State University, Fullerton",1990,609,14712,24.2,Cedric Ceballos,14.3,48,5.3,PHO,40.4,.132,11
,Duke University,1990,,,,Phil Henderson,,49,,DAL,,,
0.5,Tennessee Technological University,1990,21,87,4.1,Milos Babic,1.8,50,1.0,PHO,-0.1,-0.028,2
1.9,Marquette University,1990,457,7295,16.0,Tony Smith,5.5,51,1.6,LAL,6.7,.044,9
0.4,,1990,7,30,4.3,Stefano Rusconi,1.1,52,0.9,CLE,-0.1,-0.104,1
,Providence College,1990,,,,Abdul Shamsid-Deen,,53,,SEA,,,
1.0,University of Michigan,1990,220,3334,15.2,Sean Higgins,6.3,54,1.8,SAS,0.4,.006,6
3.3,"University of Nevada, Las Vegas",1991,707,25685,36.3,Larry Johnson,16.2,1,7.5,CHH,69.7,.130,10
6.1,Georgia Institute of Technology,1991,858,25868,30.1,Kenny Anderson,12.6,2,3.1,NJN,62.5,.116,14
2.8,Syracuse University,1991,600,17619,29.4,Billy Owens,11.7,3,6.7,SAC,28.6,.078,10
1.0,Georgetown University,1991,1196,36791,30.8,Dikembe Mutombo,9.8,4,10.3,DEN,117.0,.153,18
3.1,Michigan State University,1991,942,28855,30.6,Steve Smith,14.3,5,3.2,MIA,83.7,.139,14
1.4,University of Missouri,1991,296,5833,19.7,Doug Smith,8.0,6,4.2,DAL,3.0,.024,5
1.5,University of New Mexico,1991,567,12006,21.2,Luc Longley,7.2,7,4.9,MIN,17.5,.070,10
1.7,Temple University,1991,251,5018,20.0,Mark Macon,6.7,8,1.9,DEN,0.1,.001,6
1.6,"University of Nevada, Las Vegas",1991,1001,21658,21.6,Stacey Augmon,8.0,9,3.2,ATL,43.8,.097,15
1.1,University of Arizona,1991,413,10004,24.2,Bison Dele,11.0,10,6.2,ORL,22.8,.109,8
6.1,University of Oregon,1991,724,21545,29.8,Terrell Brandon,13.8,11,3.0,CLE,65.9,.147,11
4.0,"University of Nevada, Las Vegas",1991,757,15850,20.9,Greg Anthony,7.3,12,1.9,NYK,35.9,.109,11
0.9,Clemson University,1991,1094,29606,27.1,Dale Davis,8.0,13,7.9,IND,86.9,.141,16
0.3,University of Nebraska,1991,72,309,4.3,Rich King,1.9,14,1.0,SEA,0.2,.036,4
0.8,Seton Hall University,1991,352,6729,19.1,Anthony Avent,5.6,15,4.5,ATL,0.3,.002,6
0.7,Old Dominion University,1991,700,13760,19.7,Chris Gatling,10.3,16,5.3,GSW,32.1,.112,11
0.9,Iowa State University,1991,286,5755,20.1,Victor Alexander,8.9,17,4.8,GSW,8.8,.073,5
0.4,University of Louisiana at Lafayette,1991,126,1031,8.2,Kevin Brooks,3.3,18,1.1,MIL,-0.1,-0.004,3
2.2,University of Louisville,1991,183,3131,17.1,LaBradford Smith,6.7,19,1.5,WSB,1.5,.024,3
0.3,Phillips University,1991,42,345,8.2,John Turner,2.8,20,1.9,HOU,-0.1,-0.021,1
4.9,Providence College,1991,508,11882,23.4,Eric Murdock,10.1,21,2.5,UTA,25.6,.103,9
0.3,Syracuse University,1991,91,857,9.4,LeRon Ellis,3.0,22,2.4,LAC,1.2,.069,3
0.6,Louisiana State University,1991,300,5869,19.6,Stanley Roberts,8.5,23,5.2,ORL,8.1,.066,8
2.8,University of North Carolina,1991,930,23723,25.5,Rick Fox,9.6,24,3.8,BOS,44.7,.090,13
,University of Colorado,1991,,,,Shaun Vandiver,,25,,GSW,,,
0.4,University of Kansas,1991,127,883,7.0,Mark Randall,2.6,26,1.3,CHI,1.0,.054,4
0.8,University of North Carolina,1991,584,8394,14.4,Pete Chilcutt,4.3,27,3.3,SAC,10.6,.060,9
1.1,University of Minnesota,1991,95,1143,12.0,Kevin Lynch,3.3,28,1.3,CHH,0.4,.016,2
,"University of Nevada, Las Vegas",1991,,,,George Ackles,,29,,MIA,,,
0.7,North Carolina State University,1991,38,313,8.2,Rodney Monroe,3.4,30,0.9,ATL,-0.2,-0.035,1
2.2,New Mexico State University,1991,655,11533,17.6,Randy Brown,4.8,31,1.8,SAC,11.0,.046,12
0.0,Creighton University,1991,2,3,1.5,Chad Gallagher,3.0,32,0.0,PHO,0.1,1.442,1
0.8,Temple University,1991,249,3501,14.1,Donald Hodge,4.7,33,3.2,DAL,1.8,.025,5
1.5,Slippery Rock University of Pennsylvania,1991,4,23,5.8,Myron Brown,2.3,34,0.8,MIN,0.0,.032,1
4.3,Saint Francis University,1991,122,3049,25.0,Mike Iuzzolino,9.0,35,2.0,DAL,3.7,.058,2
2.2,North Carolina State University,1991,112,1313,11.7,Chris Corchiani,3.7,36,1.2,ORL,1.6,.058,3
3.1,University of Memphis,1991,549,9501,17.3,Elliot Perry,6.3,37,1.4,LAC,14.0,.071,10
,University of Miami,1991,,,,Joe Wylie,,38,,LAC,,,
0.7,Purdue University,1991,78,856,11.0,Jimmy Oliver,4.2,39,1.0,CLE,0.3,.018,5
2.1,La Salle University,1991,499,7275,14.6,Doug Overton,4.5,40,1.3,DET,2.5,.016,11
0.5,Iona College,1991,84,671,8.0,Sean Green,4.2,41,1.0,IND,-1.3,-0.095,3
,James Madison University,1991,,,,Steve Hood,,42,,SAC,,,
1.1,Christopher Newport University,1991,13,155,11.9,Lamont Strothers,4.6,43,1.2,GSW,-0.5,-0.142,2
,University of Houston,1991,,,,Alvaro Teheran,,44,,PHI,,,
2.7,Southern University and A&M College,1991,467,13426,28.7,Bobby Phills,11.0,45,3.1,MIL,27.2,.097,9
1.1,Oklahoma State University,1991,102,2226,21.8,Richard Dumas,10.6,46,3.4,PHO,4.5,.097,3
,Rutgers University,1991,,,,Keith Hughes,,47,,HOU,,,
1.2,Arizona State University,1991,432,8350,19.3,Isaac Austin,7.6,48,4.7,UTA,9.2,.053,9
1.7,Oral Roberts University,1991,168,1946,11.6,Greg Sutton,4.5,49,0.9,SAS,1.0,.024,3
,University of Texas at Austin,1991,,,,Joey Wright,,50,,PHO,,,
0.7,,1991,247,3607,14.6,Zan Tabak,5.0,51,3.6,HOU,2.4,.032,6
,Oral Roberts University,1991,,,,Anthony Jones,,52,,LAL,,,
,University of Wisconsin-Milwaukee,1991,,,,Von McDade,,53,,NJN,,,
,Eastern Michigan University,1991,,,,Marcus Kennedy,,54,,POR,,,
2.5,Louisiana State University,1992,1207,41918,34.7,Shaquille O'Neal,23.7,1,10.9,ORL,181.7,.208,19
1.1,Georgetown University,1992,838,25975,31.0,Alonzo Mourning,17.1,2,8.5,CHH,89.7,.166,15
2.6,Duke University,1992,868,25760,29.7,Christian Laettner,12.8,3,6.7,MIN,64.9,.121,13
3.2,Ohio State University,1992,885,29067,32.8,Jim Jackson,14.3,4,4.7,DAL,35.8,.059,14
1.6,University of Notre Dame,1992,624,17616,28.2,LaPhonso Ellis,11.9,5,6.5,DEN,32.8,.089,11
2.8,North Carolina State University,1992,763,23556,30.9,Tom Gugliotta,13.0,6,7.3,WSB,40.2,.082,13
2.3,University of Maryland,1992,708,18818,26.6,Walt Williams,11.8,7,3.9,SAC,33.9,.087,11
1.5,University of Arkansas,1992,483,12214,25.3,Todd Day,12.3,8,3.4,MIL,17.5,.069,8
1.5,University of Southern Mississippi,1992,915,27736,30.3,Clarence Weatherspoon,11.5,9,7.5,PHI,58.4,.101,13
0.7,Stanford University,1992,617,10334,16.7,Adam Keefe,5.0,10,4.1,ATL,24.9,.116,9
2.1,University of Alabama,1992,1107,27069,24.5,Robert Horry,7.0,11,4.8,HOU,66.3,.118,16
1.2,University of Southern California,1992,200,3748,18.7,Harold Miner,9.0,12,2.2,MIA,4.2,.053,4
2.0,University of Virginia,1992,586,16417,28.0,Bryant Stith,10.1,13,3.4,DEN,29.5,.086,10
1.7,St. John's University,1992,493,11720,23.8,Malik Sealy,10.1,14,3.2,IND,17.1,.070,8
2.4,University of Missouri,1992,827,20464,24.7,Anthony Peeler,9.7,15,2.6,LAL,30.7,.072,13
1.7,La Salle University,1992,151,1093,7.2,Randy Woods,2.4,16,0.6,LAC,0.6,.026,4
3.6,Pepperdine University,1992,827,26079,31.5,Doug Christie,11.2,17,4.1,SEA,55.7,.102,15
0.8,"University of California, Los Angeles",1992,659,12103,18.4,Tracy Murray,9.0,18,2.5,SAS,24.1,.096,12
1.3,"University of California, Los Angeles",1992,319,6679,20.9,Don MacLean,10.9,19,3.8,DET,9.4,.067,9
1.7,University of North Carolina,1992,685,15143,22.1,Hubert Davis,8.2,20,1.5,NYK,27.7,.088,12
2.2,Georgia Institute of Technology,1992,821,13880,16.9,Jon Barry,5.7,21,1.8,BOS,37.2,.129,14
2.2,University of Arkansas,1992,493,11338,23.0,Oliver Miller,7.4,22,5.9,PHO,21.1,.089,9
3.6,University of Arkansas,1992,496,10337,20.8,Lee Mayberry,5.1,23,1.3,MIL,7.9,.036,7
4.0,University of Alabama,1992,913,35270,38.6,Latrell Sprewell,18.3,24,4.1,GSW,56.3,.077,13
0.7,"University of Nevada, Las Vegas",1992,157,2641,16.8,Elmore Spencer,5.9,25,3.5,LAC,0.0,.001,5
0.3,Syracuse University,1992,59,475,8.1,Dave Johnson,3.5,26,1.1,POR,-0.3,-0.032,2
0.5,Oklahoma State University,1992,214,2674,12.5,Byron Houston,3.9,27,3.0,CHI,3.9,.069,4
0.2,University of Texas at El Paso,1992,98,1146,11.7,Marlon Maxey,4.9,28,3.7,MIN,2.6,.109,2
1.5,Louisiana Tech University,1992,1089,33823,31.1,P.J. Brown,9.1,29,7.7,NJN,89.8,.128,15
0.8,University of Arizona,1992,749,13560,18.1,Sean Rooks,6.2,30,3.8,DAL,16.2,.057,12
0.1,Texas Christian University,1992,66,384,5.8,Reggie Smith,1.5,31,1.8,POR,0.4,.051,2
3.0,University of Oklahoma,1992,418,7007,16.8,Brent Price,5.9,32,1.6,WSB,12.0,.082,9
0.7,Oklahoma State University,1992,39,288,7.4,Corey Williams,2.4,33,0.9,CHI,0.2,.037,2
2.8,University of Connecticut,1992,224,3956,17.7,Chris Smith,5.1,34,1.3,MIN,3.2,.039,3
2.0,University of Wisconsin-Green Bay,1992,152,1886,12.4,Tony Bennett,3.5,35,1.0,CHH,1.6,.041,3
2.0,University of Southern California,1992,88,781,8.9,Duane Cooper,2.3,36,0.7,LAL,-0.5,-0.032,2
0.2,University of Arkansas,1992,25,102,4.1,Isaiah Morris,2.2,37,0.5,MIA,0.0,-0.022,1
1.0,University of Notre Dame,1992,21,159,7.6,Elmer Bennett,2.3,38,0.5,ATL,-0.3,-0.095,3
1.2,University of Georgia,1992,148,1189,8.0,Litterial Green,2.9,39,0.5,CHI,1.6,.066,5
,Alabama State University,1992,,,,Steve Rogers,,40,,NJN,,,
1.3,Murray State University,1992,535,12579,23.5,Popeye Jones,7.0,41,7.4,HOU,22.0,.084,11
0.7,Georgia Institute of Technology,1992,552,12221,22.1,Matt Geiger,9.2,42,5.7,MIA,28.4,.112,10
2.0,,1992,75,2331,31.1,Sasha Danilovic,12.8,43,2.4,GSW,4.2,.087,2
,University of North Carolina at Charlotte,1992,,,,Henry Williams,,44,,SAS,,,
1.1,Wake Forest University,1992,103,2058,20.0,Chris King,6.7,45,3.0,SEA,1.0,.023,3
0.2,St. John's University,1992,47,273,5.8,Robert Werdann,2.1,46,1.7,DEN,0.1,.026,3
0.7,University of Pittsburgh,1992,23,367,16.0,Darren Morningstar,4.2,47,3.5,BOS,0.4,.048,1
0.3,Duke University,1992,68,374,5.5,Brian Davis,1.9,48,0.8,PHO,0.0,.000,1
,Louisiana Tech University,1992,,,,Ron Ellis,,49,,PHO,,,
0.5,University of North Carolina at Wilmington,1992,50,512,10.2,Matt Fish,3.5,50,2.2,GSW,0.6,.058,3
,Jacksonville University,1992,,,,Tim Burroughs,,51,,MIN,,,
1.0,Michigan State University,1992,2,12,6.0,Matt Steigenga,1.5,52,1.5,CHI,0.0,-0.126,1
,University of Richmond,1992,,,,Curtis Blair,,53,,HOU,,,
,Morehead State University,1992,,,,Brett Roberts,,54,,SAC,,,
4.2,University of Michigan,1993,831,30847,37.1,Chris Webber,20.7,1,9.8,ORL,84.7,.132,15
0.7,Brigham Young University,1993,832,19531,23.5,Shawn Bradley,8.1,2,6.3,PHI,40.7,.100,12
5.0,University of Memphis,1993,704,23711,33.7,Anfernee Hardaway,15.2,3,4.5,GSW,61.9,.125,14
4.0,University of Kentucky,1993,611,22762,37.3,Jamal Mashburn,19.1,4,5.4,DAL,43.7,.092,11
2.7,"University of Nevada, Las Vegas",1993,563,17851,31.7,Isaiah Rider,16.7,5,3.8,MIN,22.8,.061,9
1.7,Indiana University,1993,825,22007,26.7,Calbert Cheaney,9.5,6,3.2,WSB,23.1,.050,13
3.3,Duke University,1993,269,4170,15.5,Bobby Hurley,3.8,7,1.1,SAC,-1.2,-0.014,5
1.9,University of Hartford,1993,791,25737,32.5,Vin Baker,15.0,8,7.4,MIL,47.0,.088,13
2.0,Wake Forest University,1993,866,21873,25.3,Rodney Rogers,10.9,9,4.5,DEN,38.8,.085,12
2.7,Jackson State University,1993,937,23253,24.8,Lindsey Hunter,8.5,10,2.2,DET,32.9,.068,17
2.4,University of Tennessee,1993,839,28311,33.7,Allan Houston,17.3,11,2.9,DET,55.3,.094,12
1.4,University of North Carolina,1993,774,17683,22.8,George Lynch,6.6,12,5.0,LAL,32.3,.088,12
2.6,Seton Hall University,1993,402,7305,18.2,Terry Dehere,8.0,13,1.5,LAC,7.3,.048,6
0.2,Oregon State University,1993,27,186,6.9,Scott Haskin,2.0,14,2.0,IND,0.3,.087,1
0.7,Florida State University,1993,85,838,9.9,Doug Edwards,2.4,15,1.8,ATL,0.2,.013,3
1.7,University of Kansas,1993,335,4602,13.7,Rex Walters,4.6,16,1.2,NJN,6.3,.066,7
1.0,Indiana University,1993,207,2530,12.2,Greg Graham,4.5,17,1.1,CHH,1.3,.025,5
0.0,Seton Hall University,1993,15,92,6.1,Luther Wright,1.3,18,0.7,UTA,-0.1,-0.064,1
0.3,University of Iowa,1993,193,2512,13.0,Acie Earl,5.1,19,2.7,BOS,0.3,.005,4
1.4,University of Connecticut,1993,383,7592,19.8,Scott Burrell,6.9,20,3.5,CHH,16.4,.104,8
1.9,University of Alabama,1993,381,6935,18.2,James Robinson,7.6,21,1.7,POR,5.8,.040,7
1.9,University of Arizona,1993,568,17282,30.4,Chris Mills,11.2,22,4.9,CLE,37.7,.105,10
0.5,University of New Orleans,1993,845,16989,20.1,Ervin Johnson,4.1,23,6.1,SEA,37.8,.107,13
6.0,Florida State University,1993,993,29812,30.0,Sam Cassell,15.7,24,3.2,HOU,87.5,.141,15
0.7,University of Cincinnati,1993,644,9925,15.4,Corie Blount,3.6,25,4.2,CHI,18.2,.088,11
